Tool,Sex,Name,displayName,displayValue,order,variableUse,Recommended,variableType,usageType,Units,Mean,betacoefficent,ValidCat (for _xc),PctlLow,PctlUpp,UserMin,UserMax,LowValue,HighValue,OutlierTreatmentMethod,InvalidValueTreatment,MissingValueReplacement,MissingValueTreatment,Recommended,SmokingReference
PREDICT-1 CVD,Female,SBP_cont,SBP ,Systolic Blood Pressure,,Input,PREDICT-1 CVD,continuous,active,per 10 mmHg,1.2901730,0.0136606,,,,54/26,,,,,,,,,
PREDICT-1 CVD,Male,SBP_cont,SBP ,Systolic Blood Pressure,,Input,PREDICT-1 CVD,continuous,active,per 10 mmHg,1.2910950,0.0163778,,,,54/26,,,,,,,,,
PREDICT-1 CVD,Female,TC.HDL_cont,Cholesterol to HDL Cholesterol,Total Cholesterol to HDL Cholesterol ratio,,Input,PREDICT-1 CVD,continuous,active,units,0.03726268,0.1226753,,,,,8,,,,,,,,
PREDICT-1 CVD,Male,TC.HDL_cont,Cholesterol to HDL Cholesterol,Total Cholesterol to HDL Cholesterol ratio,,Input,PREDICT-1 CVD,continuous,active,units,0.04389060,0.1283758,,,,,8,,,,,,,,
PREDICT-1 CVD,Female,OBPLM_cat,OBPLM  ,On Blood Pressure Lowering Medication,,Input,PREDICT-1 CVD,categorical,active,NA,NA,0.339925,,,,,,,,,,,,,
PREDICT-1 CVD,Male,OBPLM_cat,OBPLM  ,On Blood Pressure Lowering Medication,,Input,PREDICT-1 CVD,categorical,active,NA,NA,0.2947634,,,,,,,,,,,,,
PREDICT-1 CVD,Female,OBPLMno_cat,Not On BPLM,Not On Blood Pressure Lowering Medication - Dummy,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,OBPLMno_cat,Not On BPLM,Not On Blood Pressure Lowering Medication - Dummy,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Female,OLLM_cat,OLLM,On Lipid Lowering Medications,,Input,PREDICT-1 CVD,categorical,active,NA,NA,-0.0593798,,,,,,,,,,,,,
PREDICT-1 CVD,Male,OLLM_cat,OLLM,On Lipid Lowering Medications,,Input,PREDICT-1 CVD,categorical,active,NA,NA,-0.0537314,,,,,,,,,,,,,
PREDICT-1 CVD,Female,OLLMno_cat,Not On LLM,Not On Lipid Lowering Medications,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,OLLMno_cat,Not On LLM,Not On Lipid Lowering Medications,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Female,OATM_cat,Antithrombotic Med,On Antithrombotic Medication,,Input,PREDICT-1 CVD,categorical,active,NA,NA,0.1172496,,,,,,,,,,,,,
PREDICT-1 CVD,Male,OATM_cat,Antithrombotic Med,On Antithrombotic Medication,,Input,PREDICT-1 CVD,categorical,active,NA,NA,0.0934141,,,,,,,,,,,,,
PREDICT-1 CVD,Female,OATMno_cat,No Antithrombotic Med,Not On Antithrombotic Medication,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,OATMno_cat,No Antithrombotic Med,Not On Antithrombotic Medication,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Female,DiabetesAge_Int,Diabetes Age Int,Diabetes Interaction with Continuous Age,,Input,PREDICT-1 CVD,continuous,active,NA,NA,-0.0222549,,,,,,,,,,,,,
PREDICT-1 CVD,Male,DiabetesAge_Int,Diabetes Age Int,Diabetes Interaction with Continuous Age,,Input,PREDICT-1 CVD,continuous,active,NA,NA,-0.020235,,,,,,,,,,,,,
PREDICT-1 CVD,Female,SBPAge_Int,SBP Age Int,Systolic Blood Pressure with Continuous Age,,Input,PREDICT-1 CVD,continuous,active,NA,NA,-0.0004425,,,,,,,,,,,,,
PREDICT-1 CVD,Male,SBPAge_Int,SBP Age Int,Systolic Blood Pressure with Continuous Age,,Input,PREDICT-1 CVD,continuous,active,NA,NA,-0.0004184,,,,,,,,,,,,,
PREDICT-1 CVD,Female,OBPLM.SBP_Int,OBPLM SBP,On Blood Pressure Lowering Medication with  Systolic Blood Pressure,,Input,PREDICT-1 CVD,continuous,active,NA,NA,-0.004313,,,,,,,,,,,,,
PREDICT-1 CVD,Male,OBPLM.SBP_Int,OBPLM SBP,On Blood Pressure Lowering Medication with  Systolic Blood Pressure,,Input,PREDICT-1 CVD,continuous,active,NA,NA,-0.0053077,,,,,,,,,,,,,
DPoRT,Female,Hypertension_cat,Diseases/Conditions,Has Hypertention,,Input,DPoRT,categorical,active,NA,-0.40980,,,,,,,,,,,,,,
DPoRT,Female,NoHypertension,Diseases/Conditions,Does not have Hypertention - Dummy,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,Hypertension_cat,Diseases/Conditions,Has Hypertention,,Input,DPoRT,categorical,active,NA,-0.36290,,,,,,,,,,,,,,
DPoRT,Male,NoHypertension,Diseases/Conditions,Does not have Hypertention - Dummy,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,Ethnicity_cat,Ethnicity,Non-White,,Input,DPoRT,categorical,active,NA,-0.45280,,,,,,,,,,,,,,
DPoRT,Female,White,Ethnicity,White - Dummy,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,Ethnicity_cat,Ethnicity,Non-White,,Input,DPoRT,categorical,active,NA,-0.56970,,,,,,,,,,,,,,
DPoRT,Male,White,Ethnicity,White - Dummy,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,Immigrant_cat,Immigration,Is an Immigrant,,Input,DPoRT,categorical,active,NA,-0.14770,,,,,,,,,,,,,,
DPoRT,Female,NonImmigrant,Immigration,Not an Immigrant - Dummy,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,Education_cat,Education,Has more then secondary school education,,Input,DPoRT,categorical,active,NA,0.19390,,,,,,,,,,,,,,
DPoRT,Female,NoEducation,Education,Has secondart school education or less  - Dummy,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,Education_cat,Education,Has more then secondary school education,,Input,DPoRT,categorical,active,NA,0.18840,,,,,,,,,,,,,,
DPoRT,Male,NoEducation,Education,Has secondart school education or less  - Dummy,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,Smoke_cat,Smoking,Currently a Smoker,,Input,DPoRT,categorical,active,NA,-0.05850,,,,,,,,,,,,,,
DPoRT,Male,NonSmoke,Smoking,Currently non-smoker - Dummy,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,HeartDis_cat,Diseases/Conditions,Has Heart Disease,,Input,DPoRT,categorical,active,NA,-0.34830,,,,,,,,,,,,,,
DPoRT,Male,NoHeartDis,Diseases/Conditions,Does not have heart Disease - Dummy,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,IncQ5_cat,Income,Income quintile 5,,Input,DPoRT,categorical,active,NA,0.11730,,,,,,,,,,,,,,
DPoRT,Male,LessIncome,Income,Income quintile 1-4 - Dummy,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI51_Age31_cat,Age Specific BMI,"Female, BMI <23 , <45years",,Input,DPoRT,categorical,active,NA,0.00000,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI52_Age31_cat,Age Specific BMI,"Female, BMI 23-25 , <45years",,Input,DPoRT,categorical,active,NA,-0.74320,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI53_Age31_cat,Age Specific BMI,"Female, BMI 25-30 , <45years",,Input,DPoRT,categorical,active,NA,-1.15210,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI54_Age31_cat,Age Specific BMI,"Female, BMI 30-35, <45years",,Input,DPoRT,categorical,active,NA,-1.84790,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI55_Age31_cat,Age Specific BMI,"Female, BMI >35, <45years",,Input,DPoRT,categorical,active,NA,-2.05620,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI5Missing_Age31_cat,Age Specific BMI,"Female, BMIMiss , <45years",,Input,DPoRT,categorical,active,NA,-1.58320,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI51_Age32_cat,Age Specific BMI,"Female, BMI < 23, 45-64years",,Input,DPoRT,categorical,active,NA,-0.71000,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI52_Age32_cat,Age Specific BMI,"Female, BMI 23-25, 45-64years",,Input,DPoRT,categorical,active,NA,-1.23380,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI53_Age32_cat,Age Specific BMI,"Female, BMI 25-30, 45-64years",,Input,DPoRT,categorical,active,NA,-1.83570,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI54_Age32_cat,Age Specific BMI,"Female, BMI 30-35, 45-64years",,Input,DPoRT,categorical,active,NA,-2.37420,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI55_Age32_cat,Age Specific BMI,"Female, BMI >35, 45-64years",,Input,DPoRT,categorical,active,NA,-2.66310,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI5Missing_Age32_cat,Age Specific BMI,"Female, BMIMiss, 45-64years",,Input,DPoRT,categorical,active,NA,-2.19880,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI51_Age33_cat,Age Specific BMI,"Female, BMI <23, 65+years",,Input,DPoRT,categorical,active,NA,-1.59560,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI52_Age33_cat,Age Specific BMI,"Female, BMI 23-25, 65+years",,Input,DPoRT,categorical,active,NA,-1.61440,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI53_Age33_cat,Age Specific BMI,"Female, BMI 25-30, 65+years",,Input,DPoRT,categorical,active,NA,-1.98300,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI54_Age33_cat,Age Specific BMI,"Female, BMI 30-35, 65+years",,Input,DPoRT,categorical,active,NA,-2.21480,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI55_Age33_cat,Age Specific BMI,"Female, BMI >35, 65+years",,Input,DPoRT,categorical,active,NA,-2.64480,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Female,BMI5Missing_Age33_cat,Age Specific BMI,"Female, BMIMiss, 65+years",,Input,DPoRT,categorical,active,NA,-2.42090,,,,,,,,,,,,,,
DPoRT,Female,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,BMI51_AgeLt45_cat,Age Specific BMI,"Male, BMI  <23, <45years",,Input,DPoRT,categorical,active,NA,0.00000,,,,,,,,,,,,,,
DPoRT,Male,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,BMI52_AgeLt45_cat,Age Specific BMI,"Male, BMI  23-25, <45years",,Input,DPoRT,categorical,active,NA,-0.55200,,,,,,,,,,,,,,
DPoRT,Male,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,BMI53_AgeLt45_cat,Age Specific BMI,"Male, BMI  25-30, <45years",,Input,DPoRT,categorical,active,NA,-0.95210,,,,,,,,,,,,,,
DPoRT,Male,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,BMI54_AgeLt45_cat,Age Specific BMI,"Male, BMI  30-35, <45years",,Input,DPoRT,categorical,active,NA,-1.71620,,,,,,,,,,,,,,
DPoRT,Male,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,BMI55_AgeLt45_cat,Age Specific BMI,"Male, BMI  >35, <45years",,Input,DPoRT,categorical,active,NA,-2.33100,,,,,,,,,,,,,,
DPoRT,Male,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,BMI51_AgeGe45_cat,Age Specific BMI,"Male, BMI  <23, 45+years",,Input,DPoRT,categorical,active,NA,-1.36020,,,,,,,,,,,,,,
DPoRT,Male,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,BMI52_AgeGe45_cat,Age Specific BMI,"Male, BMI  23-25, 45+years",,Input,DPoRT,categorical,active,NA,-1.65370,,,,,,,,,,,,,,
DPoRT,Male,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,BMI53_AgeGe45_cat,Age Specific BMI,"Male, BMI  25-30, 45+years",,Input,DPoRT,categorical,active,NA,-2.05630,,,,,,,,,,,,,,
DPoRT,Male,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,BMI54_AgeGe45_cat,Age Specific BMI,"Male, BMI  30-35, 45+years",,Input,DPoRT,categorical,active,NA,-2.55130,,,,,,,,,,,,,,
DPoRT,Male,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
DPoRT,Male,BMI55_AgeGe45_cat,Age Specific BMI,"Male, BMI  >35, 45+years",,Input,DPoRT,categorical,active,NA,-2.93530,,,,,,,,,,,,,,
DPoRT,Male,Reference,Age Specific BMI,Other,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
